RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,statefips,region_tag
66617,11592,20769,zip,MD,MD,Glenn Dale,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,24,glenn-dale-md-20769
94358,11592,83861,zip,ID,ID,Saint Maries,,Benewah County,16,saint-maries-id-83861
87890,11594,68152,zip,NE,NE,Omaha,"Omaha-Council Bluffs, NE-IA",Douglas County,31,omaha-ne-68152
90710,11595,75125,zip,TX,TX,Ferris,"Dallas-Fort Worth-Arlington, TX",Ellis County,48,ferris-tx-75125
60581,11596,7072,zip,NJ,NJ,Carlstadt,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,34,carlstadt-nj-7072
75921,11597,41097,zip,KY,KY,Williamstown,"Cincinnati, OH-KY-IN",Grant County,21,williamstown-ky-41097
68244,11598,24605,zip,VA,VA,Bluefield,"Bluefield, WV-VA",Tazewell County,51,bluefield-va-24605
81622,11599,54217,zip,WI,WI,Luxemburg,"Green Bay, WI",Kewaunee County,55,luxemburg-wi-54217
77953,11599,46075,zip,IN,IN,Whitestown,"Indianapolis-Carmel-Anderson, IN",Boone County,18,whitestown-in-46075
97263,11601,93434,zip,CA,CA,Guadalupe,"Santa Maria-Santa Barbara, CA",Santa Barbara County,6,guadalupe-ca-93434
85490,11602,62441,zip,IL,IL,Marshall,,Clark County,17,marshall-il-62441
64905,11603,17074,zip,PA,PA,Newport,"Harrisburg-Carlisle, PA",Perry County,42,newport-pa-17074
60685,11603,7462,zip,NJ,NJ,Vernon,"New York-Newark-Jersey City, NY-NJ-PA",Sussex County,34,vernon-nj-7462
69289,11603,27306,zip,NC,NC,Mount Gilead,,Montgomery County,37,mount-gilead-nc-27306
60653,11606,7403,zip,NJ,NJ,Bloomingdale,"New York-Newark-Jersey City, NY-NJ-PA",Passaic County,34,bloomingdale-nj-7403
65453,11607,18403,zip,PA,PA,Archbald,"Scranton--Wilkes-Barre, PA",Lackawanna County,42,archbald-pa-18403
91165,11608,75972,zip,TX,TX,San Augustine,,San Augustine County,48,san-augustine-tx-75972
76352,11609,42408,zip,KY,KY,Dawson Springs,"Madisonville, KY",Hopkins County,21,dawson-springs-ky-42408
64582,11610,16403,zip,PA,PA,Cambridge Springs,"Meadville, PA",Crawford County,42,cambridge-springs-pa-16403
60554,11611,7041,zip,NJ,NJ,Millburn,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,34,millburn-nj-7041
58508,11611,1834,zip,MA,MA,Groveland,"Boston-Cambridge-Newton, MA-NH",Essex County,25,groveland-ma-1834
76706,11613,43502,zip,OH,OH,Archbold,"Toledo, OH",Fulton County,39,archbold-oh-43502
79838,11613,49643,zip,MI,MI,Interlochen,"Traverse City, MI",Grand Traverse County,26,interlochen-mi-49643
70101,11615,28651,zip,NC,NC,Millers Creek,"North Wilkesboro, NC",Wilkes County,37,millers-creek-nc-28651
75302,11616,39451,zip,MS,MS,Leakesville,,Greene County,28,leakesville-ms-39451
94937,11617,85361,zip,AZ,AZ,Wittmann,"Phoenix-Mesa-Chandler, AZ",Maricopa County,4,wittmann-az-85361
79542,11618,49053,zip,MI,MI,Greater Galesburg,"Kalamazoo-Portage, MI",Kalamazoo County,26,greater-galesburg-mi-49053
88390,11619,69337,zip,NE,NE,Chadron,,Dawes County,31,chadron-ne-69337
65563,11620,18655,zip,PA,PA,Shickshinny,"Scranton--Wilkes-Barre, PA",Luzerne County,42,shickshinny-pa-18655
80214,11621,50213,zip,IA,IA,Osceola,,Clarke County,19,osceola-ia-50213
60652,11622,7401,zip,NJ,NJ,Allendale,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,34,allendale-nj-7401
64199,11622,15627,zip,PA,PA,New Derry,"Pittsburgh, PA",Westmoreland County,42,new-derry-pa-15627
78427,11624,47060,zip,IN,IN,West Harrison,"Cincinnati, OH-KY-IN",Dearborn County,18,west-harrison-in-47060
66934,11625,21632,zip,MD,MD,Federalsburg,,Caroline County,24,federalsburg-md-21632
68694,11626,25661,zip,WV,WV,Chattaroy,,Mingo County,54,chattaroy-wv-25661
73938,11627,36561,zip,AL,AL,Orange Beach,"Daphne-Fairhope-Foley, AL",Baldwin County,1,orange-beach-al-36561
58770,11627,2461,zip,MA,MA,Newton,"Boston-Cambridge-Newton, MA-NH",Middlesex County,25,newton-ma-2461
72630,11629,33471,zip,FL,FL,Moore Haven,,Glades County,12,moore-haven-fl-33471
82082,11630,55070,zip,MN,MN,Saint Francis,"Minneapolis-St. Paul-Bloomington, MN-WI",Anoka County,27,saint-francis-mn-55070
75221,11631,39218,zip,MS,MS,Richland,"Jackson, MS",Rankin County,28,richland-ms-39218
58928,11631,2830,zip,RI,RI,Burrillville,"Providence-Warwick, RI-MA",Providence County,44,burrillville-ri-2830
74108,11633,37022,zip,TN,TN,Bethpage,"Nashville-Davidson--Murfreesboro--Franklin, TN",Sumner County,47,bethpage-tn-37022
95244,11633,87008,zip,NM,NM,Cedar Crest,"Albuquerque, NM",Bernalillo County,35,cedar-crest-nm-87008
63043,11635,13309,zip,NY,NY,Boonville,"Utica-Rome, NY",Oneida County,36,boonville-ny-13309
59431,11635,4280,zip,ME,ME,Sabattus,"Lewiston-Auburn, ME",Androscoggin County,23,sabattus-me-4280
