MedianIncome,RegionName,year,state_fip,_last_synced_
41902.46,35565,2022,1,2023-12-02 16:50:45
46508.62,35570,2022,1,2023-12-02 16:50:45
58151.74,35571,2022,1,2023-12-02 16:50:45
62050.29,35572,2022,1,2023-12-02 16:50:45
56006.25,35574,2022,1,2023-12-02 16:50:45
44587.67,35575,2022,1,2023-12-02 16:50:45
62639.450000000004,35576,2022,1,2023-12-02 16:50:45
43692.6,35578,2022,1,2023-12-02 16:50:45
43566.94,35579,2022,1,2023-12-02 16:50:45
51554.590000000004,35580,2022,1,2023-12-02 16:50:45
47415.020000000004,35581,2022,1,2023-12-02 16:50:45
36396.08,35582,2022,1,2023-12-02 16:50:45
47741.53,35585,2022,1,2023-12-02 16:50:45
39317.16,35586,2022,1,2023-12-02 16:50:45
37099.57,35592,2022,1,2023-12-02 16:50:45
54481.85,35593,2022,1,2023-12-02 16:50:45
57808.75,35594,2022,1,2023-12-02 16:50:45
47149.28,35601,2022,1,2023-12-02 16:50:45
67416.59,35603,2022,1,2023-12-02 16:50:45
65376.16,35610,2022,1,2023-12-02 16:50:45
49623.340000000004,35611,2022,1,2023-12-02 16:50:45
87047.36,35613,2022,1,2023-12-02 16:50:45
51213.66,35614,2022,1,2023-12-02 16:50:45
46685.78,35616,2022,1,2023-12-02 16:50:45
42657.450000000004,35618,2022,1,2023-12-02 16:50:45
55495.37,35619,2022,1,2023-12-02 16:50:45
75428.96,35620,2022,1,2023-12-02 16:50:45
73258.75,35621,2022,1,2023-12-02 16:50:45
52593.86,35622,2022,1,2023-12-02 16:50:45
37248.92,35630,2022,1,2023-12-02 16:50:45
60520.74,35633,2022,1,2023-12-02 16:50:45
75383.64,35634,2022,1,2023-12-02 16:50:45
63028.79,35640,2022,1,2023-12-02 16:50:45
47991.82,35643,2022,1,2023-12-02 16:50:45
77053.27,35645,2022,1,2023-12-02 16:50:45
52235.42,35646,2022,1,2023-12-02 16:50:45
71849.71,35647,2022,1,2023-12-02 16:50:45
62747.6,35648,2022,1,2023-12-02 16:50:45
56854.97,35650,2022,1,2023-12-02 16:50:45
62719.79,35651,2022,1,2023-12-02 16:50:45
61656.83,35652,2022,1,2023-12-02 16:50:45
45389.01,35653,2022,1,2023-12-02 16:50:45
42226.91,35654,2022,1,2023-12-02 16:50:45
38493.16,35660,2022,1,2023-12-02 16:50:45
65218.57,35661,2022,1,2023-12-02 16:50:45
57225.770000000004,35670,2022,1,2023-12-02 16:50:45
47604.54,35671,2022,1,2023-12-02 16:50:45
54585.880000000005,35672,2022,1,2023-12-02 16:50:45
65176.340000000004,35673,2022,1,2023-12-02 16:50:45
54679.61,35674,2022,1,2023-12-02 16:50:45
43739.98,35677,2022,1,2023-12-02 16:50:45
55887.8,35739,2022,1,2023-12-02 16:50:45
41122.75,35740,2022,1,2023-12-02 16:50:45
84312.71,35741,2022,1,2023-12-02 16:50:45
42166.14,35744,2022,1,2023-12-02 16:50:45
78180.09,35747,2022,1,2023-12-02 16:50:45
88430.65000000001,35748,2022,1,2023-12-02 16:50:45
104999.23,35749,2022,1,2023-12-02 16:50:45
62428.3,35750,2022,1,2023-12-02 16:50:45
39327.46,35752,2022,1,2023-12-02 16:50:45
76038.72,35754,2022,1,2023-12-02 16:50:45
40632.47,35755,2022,1,2023-12-02 16:50:45
114402.1,35756,2022,1,2023-12-02 16:50:45
98096.17,35757,2022,1,2023-12-02 16:50:45
96955.96,35758,2022,1,2023-12-02 16:50:45
91839.95,35759,2022,1,2023-12-02 16:50:45
61075.91,35760,2022,1,2023-12-02 16:50:45
70929.92,35761,2022,1,2023-12-02 16:50:45
122243.49,35763,2022,1,2023-12-02 16:50:45
51270.310000000005,35765,2022,1,2023-12-02 16:50:45
44929.630000000005,35768,2022,1,2023-12-02 16:50:45
50119.8,35769,2022,1,2023-12-02 16:50:45
58146.590000000004,35771,2022,1,2023-12-02 16:50:45
38347.93,35772,2022,1,2023-12-02 16:50:45
58334.05,35773,2022,1,2023-12-02 16:50:45
