Population,MedianIncome,RegionName,year,state_fip,_last_synced_
11097,45154,35570,2021,1,2023-12-02 16:47:54
754,56458,35571,2021,1,2023-12-02 16:47:54
1426,60243,35572,2021,1,2023-12-02 16:47:54
1411,54375,35574,2021,1,2023-12-02 16:47:54
1020,43289,35575,2021,1,2023-12-02 16:47:54
3356,60815,35576,2021,1,2023-12-02 16:47:54
5331,42420,35578,2021,1,2023-12-02 16:47:54
3597,42298,35579,2021,1,2023-12-02 16:47:54
3817,50053,35580,2021,1,2023-12-02 16:47:54
5925,46034,35581,2021,1,2023-12-02 16:47:54
4590,35336,35582,2021,1,2023-12-02 16:47:54
1728,46351,35585,2021,1,2023-12-02 16:47:54
3851,38172,35586,2021,1,2023-12-02 16:47:54
4127,36019,35592,2021,1,2023-12-02 16:47:54
1713,52895,35593,2021,1,2023-12-02 16:47:54
7198,56125,35594,2021,1,2023-12-02 16:47:54
34682,45776,35601,2021,1,2023-12-02 16:47:54
32186,65453,35603,2021,1,2023-12-02 16:47:54
1799,63472,35610,2021,1,2023-12-02 16:47:54
26761,48178,35611,2021,1,2023-12-02 16:47:54
20475,84512,35613,2021,1,2023-12-02 16:47:54
6950,49722,35614,2021,1,2023-12-02 16:47:54
3519,45326,35616,2021,1,2023-12-02 16:47:54
2148,41415,35618,2021,1,2023-12-02 16:47:54
4703,53879,35619,2021,1,2023-12-02 16:47:54
11572,73232,35620,2021,1,2023-12-02 16:47:54
2932,71125,35621,2021,1,2023-12-02 16:47:54
7331,51062,35622,2021,1,2023-12-02 16:47:54
32632,36164,35630,2021,1,2023-12-02 16:47:54
20454,58758,35633,2021,1,2023-12-02 16:47:54
10375,73188,35634,2021,1,2023-12-02 16:47:54
26780,61193,35640,2021,1,2023-12-02 16:47:54
4061,46594,35643,2021,1,2023-12-02 16:47:54
13206,74809,35645,2021,1,2023-12-02 16:47:54
4327,50714,35646,2021,1,2023-12-02 16:47:54
1191,69757,35647,2021,1,2023-12-02 16:47:54
3325,60920,35648,2021,1,2023-12-02 16:47:54
12996,55199,35650,2021,1,2023-12-02 16:47:54
1441,60893,35651,2021,1,2023-12-02 16:47:54
9350,59861,35652,2021,1,2023-12-02 16:47:54
10904,44067,35653,2021,1,2023-12-02 16:47:54
7939,40997,35654,2021,1,2023-12-02 16:47:54
9438,37372,35660,2021,1,2023-12-02 16:47:54
18799,63319,35661,2021,1,2023-12-02 16:47:54
6667,55559,35670,2021,1,2023-12-02 16:47:54
1874,46218,35671,2021,1,2023-12-02 16:47:54
5391,52996,35672,2021,1,2023-12-02 16:47:54
7350,63278,35673,2021,1,2023-12-02 16:47:54
19841,53087,35674,2021,1,2023-12-02 16:47:54
2120,42466,35677,2021,1,2023-12-02 16:47:54
4887,54260,35739,2021,1,2023-12-02 16:47:54
3371,39925,35740,2021,1,2023-12-02 16:47:54
3415,81857,35741,2021,1,2023-12-02 16:47:54
1995,40938,35744,2021,1,2023-12-02 16:47:54
5930,75903,35747,2021,1,2023-12-02 16:47:54
7338,85855,35748,2021,1,2023-12-02 16:47:54
27196,101941,35749,2021,1,2023-12-02 16:47:54
13349,60610,35750,2021,1,2023-12-02 16:47:54
2091,38182,35752,2021,1,2023-12-02 16:47:54
5699,73824,35754,2021,1,2023-12-02 16:47:54
455,39449,35755,2021,1,2023-12-02 16:47:54
22410,111070,35756,2021,1,2023-12-02 16:47:54
17829,95239,35757,2021,1,2023-12-02 16:47:54
47184,94132,35758,2021,1,2023-12-02 16:47:54
10557,89165,35759,2021,1,2023-12-02 16:47:54
5077,59297,35760,2021,1,2023-12-02 16:47:54
13187,68864,35761,2021,1,2023-12-02 16:47:54
19328,118683,35763,2021,1,2023-12-02 16:47:54
4768,49777,35765,2021,1,2023-12-02 16:47:54
12851,43621,35768,2021,1,2023-12-02 16:47:54
9810,48660,35769,2021,1,2023-12-02 16:47:54
3071,56453,35771,2021,1,2023-12-02 16:47:54
4895,37231,35772,2021,1,2023-12-02 16:47:54
14089,56635,35773,2021,1,2023-12-02 16:47:54
3447,44868,35776,2021,1,2023-12-02 16:47:54
25145,85880,35801,2021,1,2023-12-02 16:47:54
23629,64208,35802,2021,1,2023-12-02 16:47:54
27990,84951,35803,2021,1,2023-12-02 16:47:54
20033,28232,35805,2021,1,2023-12-02 16:47:54
26199,66702,35806,2021,1,2023-12-02 16:47:54
31735,40395,35810,2021,1,2023-12-02 16:47:54
28129,75303,35811,2021,1,2023-12-02 16:47:54
14440,29162,35816,2021,1,2023-12-02 16:47:54
9129,93857,35824,2021,1,2023-12-02 16:47:54
18827,40350,35901,2021,1,2023-12-02 16:47:54
18240,44003,35903,2021,1,2023-12-02 16:47:54
13571,39267,35904,2021,1,2023-12-02 16:47:54
